cluster,lat,lon,월세_mean,월세_median,월세_min,월세_max,보증금_mean,보증금_median,보증금_min,보증금_max,room_count,월세,보증금,건물명,cctv_count,conv_count,noise_count,store_count,lamp_count
0,35.83947433281619,128.7534640186957,30.285714285714285,30.0,15,40,175.0,200.0,50,300,14,30.285714285714285,175.0,14,0,2,3,3,24
1,35.8408659699665,128.75385653331466,25.714285714285715,27.0,21,30,141.42857142857142,150.0,70,200,7,25.714285714285715,141.42857142857142,7,6,2,0,1,9
2,35.83814513170927,128.754746181657,24.333333333333332,20.0,20,33,133.33333333333334,100.0,100,200,3,24.333333333333332,133.33333333333334,3,2,1,14,9,16
3,35.84014433187756,128.75630662347268,30.666666666666668,30.0,27,35,200.0,200.0,200,200,3,30.666666666666668,200.0,3,1,2,0,2,17
4,35.841011964162405,128.7556917199052,32.8,32.0,31,37,180.0,200.0,150,200,5,32.8,180.0,5,0,1,0,0,18
5,35.83932914092627,128.75640555209966,35.0,35.0,32,38,200.0,200.0,200,200,3,35.0,200.0,3,2,2,1,5,12
6,35.839654737418215,128.75191786054177,28.5,25.0,24,40,125.0,100.0,100,200,4,28.5,125.0,4,7,1,0,0,10
7,35.83872060401563,128.7543367627775,29.785714285714285,29.0,22,47,150.0,150.0,100,200,14,29.785714285714285,150.0,14,2,2,16,9,23
8,35.84010833559993,128.75953646788633,30.333333333333332,28.0,27,36,233.33333333333334,200.0,200,300,3,30.333333333333332,233.33333333333334,3,0,1,0,0,0
9,35.83929447960416,128.7525600686642,28.125,28.0,25,32,131.25,100.0,100,200,8,28.125,131.25,8,3,3,3,3,28
10,35.83860235549086,128.75399788388506,27.0,23.0,22,36,133.33333333333334,100.0,100,200,3,27.0,133.33333333333334,3,3,2,24,9,36
11,35.841357362904766,128.75172087066534,22.666666666666668,22.0,21,25,90.0,100.0,70,100,3,22.666666666666668,90.0,3,6,1,0,0,24
12,35.840836643026826,128.756627091826,30.25,31.0,26,33,187.5,200.0,150,200,4,30.25,187.5,4,0,1,0,0,10
13,35.8383225799685,128.75789286099533,28.666666666666668,29.0,27,30,166.66666666666666,150.0,150,200,3,28.666666666666668,166.66666666666666,3,5,1,0,1,28
14,35.840541730199625,128.75346866331648,30.25,31.5,23,35,187.5,175.0,100,300,4,30.25,187.5,4,7,2,0,1,16
15,35.83809451481052,128.7529514148695,27.75,29.0,20,35,175.0,200.0,100,200,8,27.75,175.0,8,2,2,24,9,33
16,35.83885537433352,128.75470870687906,25.75,29.0,15,30,1637.5,200.0,150,6000,4,25.75,1637.5,4,2,0,8,4,24
17,35.83963893778738,128.7523663325675,28.75,30.0,23,32,175.0,200.0,100,200,4,28.75,175.0,4,4,2,0,0,11
18,35.8373600168282,128.75151610123334,31.333333333333332,32.0,30,32,200.0,200.0,200,200,3,31.333333333333332,200.0,3,0,0,4,11,26
19,35.840868215918,128.75540154461768,28.666666666666668,27.0,27,32,200.0,150.0,150,300,3,28.666666666666668,200.0,3,0,1,0,0,20
20,35.8401706431816,128.75250862090726,24.75,24.5,22,28,150.0,150.0,100,200,4,24.75,150.0,4,8,3,0,0,17
21,35.83944245995934,128.7529260607243,30.857142857142858,30.5,20,40,165.71428571428572,200.0,70,200,14,30.857142857142858,165.71428571428572,14,2,3,1,3,20
22,35.83733752794674,128.75115280622,38.666666666666664,40.0,36,40,200.0,200.0,200,200,3,38.666666666666664,200.0,3,0,0,4,7,21
23,35.84017030811313,128.754024848547,35.666666666666664,30.0,27,50,200.0,150.0,150,300,3,35.666666666666664,200.0,3,3,1,1,1,20
24,35.83892851565983,128.75301169777183,29.0,29.5,27,30,125.0,100.0,100,200,4,29.0,125.0,4,2,3,9,5,32
25,35.839586405128536,128.75640497219118,31.166666666666668,29.0,27,45,225.0,200.0,100,500,6,31.166666666666668,225.0,6,2,2,1,5,9
26,35.840227653248796,128.75577043810358,27.666666666666668,28.0,25,30,158.33333333333334,175.0,100,200,6,27.666666666666668,158.33333333333334,6,0,2,0,0,17
27,35.83799999399105,128.75883531050076,27.25,27.0,25,30,162.5,175.0,100,200,4,27.25,162.5,4,0,1,0,0,28
28,35.838726611558705,128.75782550449736,27.2,25.0,22,33,140.0,100.0,100,200,5,27.2,140.0,5,5,0,0,1,19
29,35.84077402851222,128.75608300795406,29.0,30.0,25,32,183.33333333333334,200.0,150,200,3,29.0,183.33333333333334,3,0,1,0,0,21
30,35.83984877982337,128.75215367692363,29.25,30.0,26,31,175.0,175.0,150,200,4,29.25,175.0,4,7,2,0,0,10
31,35.840008553089866,128.75286021252865,23.333333333333332,21.0,20,29,116.66666666666667,100.0,100,150,3,23.333333333333332,116.66666666666667,3,3,2,0,0,20
32,35.8404429616093,128.7530723084435,27.0,28.0,22,30,130.0,125.0,70,200,4,27.0,130.0,4,3,2,0,0,15
33,35.840117579475084,128.75699611584767,27.5,27.5,25,30,150.0,150.0,100,200,4,27.5,150.0,4,0,0,0,2,10
34,35.84028020889371,128.75447784392426,34.333333333333336,40.0,23,40,300.0,400.0,100,400,3,34.333333333333336,300.0,3,3,0,0,0,17
35,35.84113535638428,128.7521137503099,23.0,23.0,16,30,92.5,100.0,70,100,4,23.0,92.5,4,7,1,0,0,19
36,35.84024263678603,128.75664408452369,30.333333333333332,28.0,25,38,200.0,200.0,200,200,3,30.333333333333332,200.0,3,0,1,0,2,13
37,35.83883217685267,128.753616897033,28.666666666666668,30.0,25,31,183.33333333333334,200.0,150,200,3,28.666666666666668,183.33333333333334,3,2,2,18,6,35
38,35.8385230057145,128.75259762820363,32.333333333333336,30.0,27,40,166.66666666666666,200.0,100,200,3,32.333333333333336,166.66666666666666,3,2,1,11,7,36
39,35.83790473475327,128.75337027668735,31.0,30.0,30,33,200.0,200.0,200,200,3,31.0,200.0,3,2,3,30,12,31
